ranking_date,rank,country_name,country_code,points,rank_previous,points_previous,confederation,previous_ranking_date
2003-07-16,1,USA,USA,2170,1,2171,CONCACAF,2002-12-31
2003-07-16,2,Norway,NOR,2160,2,2165,UEFA,2002-12-31
2003-07-16,3,Germany,GER,2153,3,2162,UEFA,2002-12-31
2003-07-16,4,China PR,CHN,2110,4,2119,AFC,2002-12-31
2003-07-16,5,Sweden,SWE,2074,5,2072,UEFA,2002-12-31
2003-07-16,6,Brazil,BRA,2037,6,2037,CONMEBOL,2002-12-31
2003-07-16,7,Korea DPR,PRK,2004,7,1991,AFC,2002-12-31
2003-07-16,8,Denmark,DEN,1967,8,1974,UEFA,2002-12-31
2003-07-16,9,France,FRA,1964,9,1949,UEFA,2002-12-31
2003-07-16,10,Italy,ITA,1943,10,1938,UEFA,2002-12-31
2003-07-16,11,Russia,RUS,1899,11,1896,UEFA,2002-12-31
2003-07-16,12,Canada,CAN,1867,14,1849,CONCACAF,2002-12-31
2003-07-16,13,England,ENG,1860,12,1869,UEFA,2002-12-31
2003-07-16,14,Japan,JPN,1850,13,1855,AFC,2002-12-31
2003-07-16,15,Australia,AUS,1840,15,1833,OFC,2002-12-31
2003-07-16,16,Netherlands,NED,1814,15,1833,UEFA,2002-12-31
2003-07-16,17,Iceland,ISL,1782,18,1777,UEFA,2002-12-31
2003-07-16,18,Ukraine,UKR,1779,17,1806,UEFA,2002-12-31
2003-07-16,19,Spain,ESP,1767,22,1755,UEFA,2002-12-31
2003-07-16,20,Finland,FIN,1762,20,1764,UEFA,2002-12-31
2003-07-16,21,New Zealand,NZL,1760,21,1762,OFC,2002-12-31
2003-07-16,22,Chinese Taipei,TPE,1746,19,1766,AFC,2002-12-31
2003-07-16,23,Nigeria,NGA,1738,23,1735,CAF,2002-12-31
2003-07-16,24,Czech Republic,CZE,1737,24,1730,UEFA,2002-12-31
2003-07-16,25,Korea Republic,KOR,1728,28,1697,AFC,2002-12-31
2003-07-16,26,Hungary,HUN,1723,25,1723,UEFA,2002-12-31
2003-07-16,27,Belgium,BEL,1717,26,1717,UEFA,2002-12-31
2003-07-16,28,Yugoslavia,YUG,1709,27,1716,UEFA,2002-12-31
2003-07-16,29,Switzerland,SUI,1703,29,1693,UEFA,2002-12-31
2003-07-16,30,Scotland,SCO,1691,32,1672,UEFA,2002-12-31
2003-07-16,31,Mexico,MEX,1671,33,1661,CONCACAF,2002-12-31
2003-07-16,31,Poland,POL,1671,30,1684,UEFA,2002-12-31
2003-07-16,33,Portugal,POR,1666,31,1673,UEFA,2002-12-31
2003-07-16,34,Romania,ROU,1650,34,1645,UEFA,2002-12-31
2003-07-16,35,Argentina,ARG,1624,38,1608,CONMEBOL,2002-12-31
2003-07-16,36,Slovakia,SVK,1615,35,1617,UEFA,2002-12-31
2003-07-16,36,Colombia,COL,1615,0,0,CONMEBOL,2002-12-31
2003-07-16,38,Republic of Ireland,IRL,1613,36,1616,UEFA,2002-12-31
2003-07-16,39,Peru,PER,1603,37,1609,CONMEBOL,2002-12-31
2003-07-16,40,Trinidad and Tobago,TRI,1595,39,1595,CONCACAF,2002-12-31
2003-07-16,41,Thailand,THA,1587,40,1586,AFC,2002-12-31
